feature,mean_abs_shap,domain
sp_dist_to_fail,1.1668621824152878,Spatial
blk_mean,0.380617915111157,Block
sp_old_label,0.18312841908062588,Spatial
blk_std,0.14626574883894933,Block
blk_q75,0.11770304828223851,Block
feature_460,0.08973299473839967,Die / Parametric
feature_85,0.08708037529445832,Die / Parametric
feature_243,0.07761822482952419,Die / Parametric
feature_285,0.07718495321977356,Die / Parametric
feature_246,0.07714662045249254,Die / Parametric
feature_8,0.07621819196727678,Die / Parametric
feature_336,0.07502332314352943,Die / Parametric
feature_33,0.07468323484039267,Die / Parametric
feature_171,0.07256163326772481,Die / Parametric
feature_178,0.06821412114774893,Die / Parametric
feature_204,0.06734200206196568,Die / Parametric
feature_379,0.06719297868941694,Die / Parametric
feature_183,0.06491931113912257,Die / Parametric
feature_282,0.06384108312578572,Die / Parametric
feature_480,0.06360462197774973,Die / Parametric
sp_edge_prox,0.06345198503947012,Spatial
feature_58,0.06320924199578215,Die / Parametric
feature_245,0.06179237603019873,Die / Parametric
feature_109,0.0607693781557217,Die / Parametric
feature_168,0.05992653747997508,Die / Parametric
feature_132,0.05992422914390346,Die / Parametric
feature_173,0.05965574009526919,Die / Parametric
feature_262,0.059380548654466105,Die / Parametric
feature_333,0.058676113049937105,Die / Parametric
feature_113,0.05867595899574316,Die / Parametric
feature_225,0.05857580990569327,Die / Parametric
feature_457,0.05856431104487881,Die / Parametric
feature_348,0.057714330967596345,Die / Parametric
feature_242,0.05765890898084126,Die / Parametric
feature_309,0.05753420431094425,Die / Parametric
feature_276,0.05726795700181165,Die / Parametric
feature_419,0.05710503703561275,Die / Parametric
feature_284,0.05708817339205781,Die / Parametric
feature_191,0.05652715475269359,Die / Parametric
feature_290,0.05609822020693331,Die / Parametric
feature_272,0.05553740966175937,Die / Parametric
feature_295,0.05517415935497146,Die / Parametric
feature_397,0.0546148652912811,Die / Parametric
feature_218,0.0544574996928786,Die / Parametric
feature_77,0.054263325976323065,Die / Parametric
feature_478,0.05417246438109943,Die / Parametric
feature_312,0.054106769496292825,Die / Parametric
feature_200,0.05393175838202374,Die / Parametric
feature_387,0.05373093296025485,Die / Parametric
